Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Goalkeeper,Top Scorer,GF by Top Scorer,GF/90,GA/90,GD/90,GF by Top Scorer/90
1, ManchesteCity 2011-2012,38,28,5,5,93,29,64,89,2.34,0,0,0,0,"47,045",Joe Hart,Sergio Agüero , 23,2.45 ,0.76 ,1.68 ,0.61 
2, Manchester Utd 2011-2012,38,28,5,5,89,33,56,89,2.34,0,0,0,0,"75,387",David de Gea,Wayne Rooney , 27,2.34 ,0.87 ,1.47 ,0.71 
3, Arsenal 2011-2012,38,21,7,10,74,49,25,70,1.84,0,0,0,0,"60,000",Wojciech Szczesny,Robin van Persie , 30,1.95 ,1.29 ,0.66 ,0.79 
4, Tottenham 2011-2012,38,20,9,9,66,41,25,69,1.82,0,0,0,0,"36,036",Brad Friedel,Emmanuel Adebayor , 17,1.74 ,1.08 ,0.66 ,0.45 
5, Newcastle Utd 2011-2012,38,19,8,11,56,51,5,65,1.71,0,0,0,0,"49,951",Tim Krul,Demba Ba , 16,1.47 ,1.34 ,0.13 ,0.42 
6, Chelsea 2011-2012,38,18,10,10,65,46,19,64,1.68,0,0,0,0,"41,484",PetCech,"Frank Lampard, Daniel Sturridge ", 11,1.71 ,1.21 ,0.50 ,0.29 
7, Everton 2011-2012,38,15,11,12,50,40,10,56,1.47,0,0,0,0,"33,228",Tim Howard,Nikica Jelavic , 9,1.32 ,1.05 ,0.26 ,0.24 
8, Liverpool 2011-2012,38,14,10,14,47,40,7,52,1.37,0,0,0,0,"44,253",Pepe Reina,Luis Suárez , 11,1.24 ,1.05 ,0.18 ,0.29 
9, Fulham 2011-2012,38,14,10,14,48,51,-3,52,1.37,0,0,0,0,"25,399",Mark Schwarzer,Clint Dempsey , 17,1.26 ,1.34 ,-0.08 ,0.45 
10, West Brom 2011-2012,38,13,8,17,45,52,-7,47,1.24,0,0,0,0,"24,770",Ben Foster,Peter Odemwingie , 10,1.18 ,1.37 ,-0.18 ,0.26 
11, SwanseCity 2011-2012,38,12,11,15,44,51,-7,47,1.24,0,0,0,0,"19,946",Michel Vorm,Danny Graham , 12,1.16 ,1.34 ,-0.18 ,0.32 
12, NorwicCity 2011-2012,38,12,11,15,52,66,-14,47,1.24,0,0,0,0,"26,606",John Ruddy,Grant Holt , 15,1.37 ,1.74 ,-0.37 ,0.39 
13, Sunderland 2011-2012,38,11,12,15,45,46,-1,45,1.18,0,0,0,0,"39,047",Simon Mignolet,Nicklas Bendtner , 8,1.18 ,1.21 ,-0.03 ,0.21 
14, StokCity 2011-2012,38,11,12,15,36,53,-17,45,1.18,0,0,0,0,"27,226",Asmir Begovic,PeteCrouch , 10,0.95 ,1.39 ,-0.45 ,0.26 
15, Wigan Athletic 2011-2012,38,11,10,17,42,62,-20,43,1.13,0,0,0,0,"18,634",Ali Al Habsi,Franco Di Santo , 7,1.11 ,1.63 ,-0.53 ,0.18 
16, Aston Villa 2011-2012,38,7,17,14,37,53,-16,38,1,0,0,0,0,"33,883",Shay Given,Darren Bent , 9,0.97 ,1.39 ,-0.42 ,0.24 
17, QPR 2011-2012,38,10,7,21,43,66,-23,37,0.97,0,0,0,0,"17,295",Paddy Kenny,Heiðar Helguson , 8,1.13 ,1.74 ,-0.61 ,0.21 
18, Bolton 2011-2012,38,10,6,22,46,77,-31,36,0.95,0,0,0,0,"23,670",Ádám Bogdán,Ivan Klasnic , 8,1.21 ,2.03 ,-0.82 ,0.21 
19, Blackburn 2011-2012,38,8,7,23,48,78,-30,31,0.82,0,0,0,0,"22,551",Paul Robinson,Yakubu Aiyegbeni , 17,1.26 ,2.05 ,-0.79 ,0.45 
20, Wolves 2011-2012,38,5,10,23,40,82,-42,25,0.66,0,0,0,0,"25,677",Wayne Hennessey,Steven Fletcher , 12,1.05 ,2.16 ,-1.11 ,0.32 
1, Manchester Utd 2012-2013,38,28,5,5,86,43,43,89,2.34,0,0,0,0,"75,530",David de Gea,Robin van Persie , 26,2.26 ,1.13 ,1.13 ,0.68 
2, ManchesteCity 2012-2013,38,23,9,6,66,34,32,78,2.05,0,0,0,0,"46,974",Joe Hart,Edin D?eko , 14,1.74 ,0.89 ,0.84 ,0.37 
3, Chelsea 2012-2013,38,22,9,7,75,39,36,75,1.97,0,0,0,0,"41,462",PetCech,Frank Lampard , 15,1.97 ,1.03 ,0.95 ,0.39 
4, Arsenal 2012-2013,38,21,10,7,72,37,35,73,1.92,0,0,0,0,"60,079",Wojciech Szczesny,Theo Walcott , 14,1.89 ,0.97 ,0.92 ,0.37 
5, Tottenham 2012-2013,38,21,9,8,66,46,20,72,1.89,0,0,0,0,"36,066",Hugo Lloris,Gareth Bale , 21,1.74 ,1.21 ,0.53 ,0.55 
