,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Aaron Ramsdale,eng?ENG,GK,24,38,38,"3,420",38,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,Matches
Gabriel Dos Santos,br?BRA,DF,24,38,38,"3,409",37.9,3,0,3,3,0,0,5,0,5.1,5.1,0.3,5.3,18,153,16,0.08,0,0.08,0.08,0.08,0.13,0.01,0.14,0.13,0.14,Matches
Bukayo Saka,eng?ENG,FW,20,38,37,"3,181",35.3,14,11,25,12,2,3,6,0,11.2,9.1,8.5,17.6,179,109,520,0.4,0.31,0.71,0.34,0.65,0.32,0.24,0.56,0.26,0.5,Matches
Martin ?degaard,no?NOR,MF,23,37,37,"3,127",34.7,15,7,22,15,0,0,4,0,10,10,8.1,18.1,83,266,193,0.43,0.2,0.63,0.43,0.63,0.29,0.23,0.52,0.29,0.52,Matches
Ben White,eng?ENG,DF,24,38,36,"3,055",33.9,2,5,7,2,0,0,5,0,1.3,1.3,3.2,4.5,64,249,124,0.06,0.15,0.21,0.06,0.21,0.04,0.09,0.13,0.04,0.13,Matches
Granit Xhaka,ch?SUI,MF,29,37,36,"2,993",33.3,7,7,14,7,0,0,4,0,4.7,4.7,5.2,9.9,42,196,175,0.21,0.21,0.42,0.21,0.42,0.14,0.16,0.3,0.14,0.3,Matches
Gabriel Martinelli,br?BRA,FW,21,36,34,"2,789",31,15,5,20,15,0,0,3,0,9.3,9.3,9.1,18.4,124,94,350,0.48,0.16,0.65,0.48,0.65,0.3,0.29,0.59,0.3,0.59,Matches
Thomas Partey,gh?GHA,MF,29,33,28,"2,483",27.6,3,0,3,3,0,0,5,0,2.2,2.2,1.5,3.8,34,231,35,0.11,0,0.11,0.11,0.11,0.08,0.06,0.14,0.08,0.14,Matches
William Saliba,fr?FRA,DF,21,27,27,"2,415",26.8,2,1,3,2,0,0,4,0,0.9,0.9,1.2,2.1,13,99,2,0.07,0.04,0.11,0.07,0.11,0.03,0.04,0.08,0.03,0.08,Matches
Oleksandr Zinchenko,ua?UKR,DF,25,27,26,"2,118",23.5,1,2,3,1,0,0,3,0,1.4,1.4,1.4,2.8,67,227,68,0.04,0.08,0.13,0.04,0.13,0.06,0.06,0.12,0.06,0.12,Matches
Gabriel Jesus,br?BRA,FW,25,26,24,"2,064",22.9,11,6,17,10,1,1,6,0,14,13.2,3.9,17.1,44,64,194,0.48,0.26,0.74,0.44,0.7,0.61,0.17,0.78,0.58,0.75,Matches
Leandro Trossard,be?BEL,FW,27,20,10,931,10.3,1,10,11,1,0,0,0,0,1.8,1.8,4.7,6.6,36,57,102,0.1,0.97,1.06,0.1,1.06,0.18,0.46,0.64,0.18,0.64,Matches
Eddie Nketiah,eng?ENG,FW,23,30,9,"1,089",12.1,4,1,5,4,0,0,3,0,8.2,8.2,1.3,9.5,32,15,82,0.33,0.08,0.41,0.33,0.41,0.68,0.11,0.78,0.68,0.78,Matches
Jorginho,it?ITA,MF,30,14,9,855,9.5,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,15,99,8,0,0.11,0.11,0,0.11,0.02,0.02,0.04,0.02,0.04,Matches
Kieran Tierney,sct?SCO,DF,25,27,6,795,8.8,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.7,25,36,31,0,0.11,0.11,0,0.11,0.04,0.04,0.08,0.04,0.08,Matches
Takehiro Tomiyasu,jp?JPN,DF,23,21,6,663,7.4,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.8,14,51,28,0,0.14,0.14,0,0.14,0.03,0.08,0.11,0.03,0.11,Matches
Rob Holding,eng?ENG,DF,26,14,6,566,6.3,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,3,24,2,0.16,0,0.16,0.16,0.16,0.05,0,0.05,0.05,0.05,Matches
Jakub Kiwior,pl?POL,DF,22,7,5,427,4.7,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,0,6,6,0.21,0,0.21,0.21,0.21,0.02,0.01,0.03,0.02,0.03,Matches
Fabio Vieira,pt?POR,"MF,FW",22,22,3,514,5.7,1,2,3,1,0,0,0,0,0.8,0.8,2.5,3.3,8,35,40,0.18,0.35,0.53,0.18,0.53,0.15,0.44,0.58,0.15,0.58,Matches
Albert Sambi Lokonga,be?BEL,MF,22,6,2,198,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
Mohamed Elneny,eg?EGY,MF,30,5,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,Matches
Reiss Nelson,eng?ENG,FW,22,11,0,212,2.4,3,2,5,3,0,0,0,0,1.1,1.1,1.4,2.5,19,6,34,1.27,0.85,2.12,1.27,2.12,0.46,0.58,1.04,0.46,1.04,Matches
Emile Smith Rowe,eng?ENG,"MF,FW",22,12,0,172,1.9,0,2,2,0,0,0,0,0,0.3,0.3,0.7,1,2,7,11,0,1.05,1.05,0,1.05,0.14,0.36,0.5,0.14,0.5,Matches
C?dric Soares,pt?POR,DF,30,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,Matches
Marquinhos,br?BRA,MF,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ethan Nwaneri,eng?ENG,FW,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mauro Bandeira,pt?POR,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nathan Butler-Oyedeji,eng?ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Amario Duberry,eng?ENG,FW,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Karl Jakob Hein,ee?EST,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolas P?p?,ci?CIV,"FW,MF",27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matthew Smith,eng?ENG,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lino Sousa,eng?ENG,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matt Turner,us?USA,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Reuell Walters,eng?ENG,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,24.7,38,418,"3,420",38,84,64,148,81,3,4,51,0,71.9,69.1,53.8,122.9,824,2049,2024,2.21,1.68,3.89,2.13,3.82,1.89,1.41,3.31,1.82,3.23,
Opponent Total,,,26.7,38,418,"3,420",38,42,27,69,39,3,5,84,1,42,38,31.6,69.6,510,907,901,1.11,0.71,1.82,1.03,1.74,1.1,0.83,1.93,1,1.83,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see?coverage note.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Expected Goals (xG explained) and other Advanced Data provided by?Opta, and is available for?these competitions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
